title,description,amount_usd,goal_usd,duration_days,cover_image,url,image_labels,binary
2nd Annual Massage fundraiser for Homeward Animal Shelter,"Last years fundraiser for the Homeward Animal shelter was so successful I am back to do it again at Massage Envy on August 26th! Homeward does amazing work here in Fargo, and I strongly support their mission and hope that this years fundraiser is as successful as last year!

Homeward Animal Shelter Inc.

Homeward Animal Shelter's mission statement is: Rescue. Shelter. Protect. Rehome. We serve the Fargo-Moorhead area, including all of Cass County in North Dakota and all of Clay County in Minnesota.

Every contribution, big or small, makes a real impact. Even just a few dollars can help move this mission forward and reach those who need it most.

If you can’t donate right now, sharing this fundraiser is also incredibly helpful. Thank you so much for your kindness and generosity. It means the world to me.",1000.0,1000.0,43.0,https://images.gofundme.com/3hguyHJimIvbn6Cr6m4vVVWS9gU=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93827675_1755710898493488_r.jpeg,https://www.gofundme.com/f/2nd-annual-massage-fundraiser-for-homeward-animal-shelter?qid=7043aa8d406d10bc6b86365fab710493,"Dog, Vertebrate, Carnivores, Snout, Working animal, Canidae, Fur, Whiskers, Biting, Pet Supply",0
GCFA: Fundraiser for High Shelter Census and HVAC Repair,"CALLING ALL ANIMAL LOVERS & SHELTER SUPPORTERS:
Please consider donating any amount you can to help the GCFA with our rising animal census and building costs for our recent A/C failures.
Our current census: 72 ferrets. We've had 2 A/C failures and need to raise money to permanently resolve our HVAC problem. On top of that, we've had to take multiple surrenders to the vet and the ER. It's been a busy month for the GCFA and we need some help from our Chicagoland community. Our hope is that your donations can help us fix our building situation and make sure all these animals have A/C. Any remaining funds left over from the HVAC repair will go straight to the ferrets for food, vet care, and anything else they may need.",1495.0,5000.0,78.0,https://images.gofundme.com/bSnOcdg33RMZfoYWltMzdipeZv4=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92586345_1755126514852888_r.png,https://www.gofundme.com/f/help-gcfa-ferrets-beat-the-chicago-heat?qid=42e657e08f9b516d3e9ee47c1b3da4c1,"Snout, Advertising, Photo caption, Rodent, Fur, Pest, Muroids, Hamster, Whiskers, Murids",1
Help for Balkanabat Dog Haven,"My name is Dmitry, I live in Balkanabat, Turkmenistan. I am writing to you on behalf of a small group of people who care deeply about the fate of stray dogs in our country.
Recently, my dog-friend Govnaryk was almost killed during a cruel capture operation. In Turkmenistan, there are no official animal shelters or humane catching services. Stray dogs are often poisoned or killed publicly.
Right now, in Balkanabat, a small group of people try run a private shelter that survives only on the support of kind people. They care for about 50 dogs on a small plot of land without water supply or gas. Water is delivered by trucks, food is cooked on open fire, and medical help is almost unavailable – the nearest proper vet clinic is in Ashgabat (over 400 km away). Spaying/neutering costs about 50 USD per dog, not including travel expenses.",174.0,13000.0,7.0,https://images.gofundme.com/ca0ib-jbVfhNWaslYLyUtoKBS4w=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94999585_1758774307839505_r.png,https://www.gofundme.com/f/help-for-balkanabat-dog-haven?qid=44fddf1546ad54ab55343e8b2894382c,"Dog, Carnivores, Street dog, Snout, Working animal, Canidae, Paw, Ancient dog breeds, Rare dog breed",0
Support Daniel's Eagle Scout Project for the Animal Shelter,"Hi, my name is Daniel Watrous. I am a Life Scout with BSA Troop 321, and I'm working on my Eagle Scout Project. For my project, I chose to build a Catio for the Lynn Haven Animal Shelter. The Catio will be a small, enclosed play structure built into the current cat room of the Shelter.

The Lynn Haven Animal Shelter is near and dear to my heart because my family volunteers there every week. We walk dogs, clean up messes, and pet and socialize the cats. It makes my heart happy to know I'm helping care for someone's future pet.

Currently, there is no safe space for the cats to roam freely at the shelter, so the majority of their time is spent in their kennels. While the kennels are an adequate and safe space for the cats, it affords little room for them to exercise, play and interact with each other. My hope is that the Catio will be a fun and safe space for them to stretch their legs and play.",1500.0,1500.0,531.0,https://images.gofundme.com/H-EKZ8nalH3eeYBBBKIg45Oewg0=/1200x900/https://d2g8igdw686xgo.cloudfront.net/79614853_1713555461929226_r.jpeg,https://www.gofundme.com/f/support-daniels-eagle-scout-project-for-the-animal-shelter?qid=54a80c3c35ee527d2dd231684a3b567b,"Facial expression, Smile, Scout, Carnivores, Felidae, Felinae, Happiness, Boy Scouts of America, Whiskers, Cat",1
Marathon Madness for a Animal Shelter & Dementia Org in SA,"Hey, I’m Emma ☺️, and I’ve made the (probably unwise) decision to run a marathon in Cape Town, South Africa on the 19th October 24. I’ve never run before—unless you count running late. But, if you know me you know I’m nuts so no shocks there. Anyway, I’ve got two incredible reasons to push through which is for an Animal shelter and a Dementia Organisation in South Africa.

Let me tell you why… I’ve had two very very close life ending experiences and I’m seriously lucky to be alive today… but for one, if it wasn’t for a loyal four legged family member sacrificing himself to push me out the way of a truck I wouldn’t be writing this….. Soooo I owe it to him ❤️ Animals should always be given the chance to live a happy life full of love and warmth, and I’d like us to support this cause with full hearts as myself and my family have ☀️",1031.25,625.0,378.0,https://images.gofundme.com/26ICpSFlt_932tMOW7tRip25yS4=/1200x900/https://d2g8igdw686xgo.cloudfront.net/82880375_1726767635685798_r.png,https://www.gofundme.com/f/marathon-madness-for-a-animal-shelter-dementia-org-in-sa?qid=6666208d2db96145b81edbb21e4dfc65,"Body of water, Coast, Sea, Coastal and oceanic landforms, Horizon, Ocean, Vacation, Leisure, Shore, Beach",0
Donate for Emma's Surgery and Recovery,"I am raising funds to help little Emma get a surgery that she needs to drastically change her life! She recently tore out her ACL in the back. I do not have the ability to pay for this surgery without your help. I need to raise about $7,000! Emma and I live alone in Alaska with no family nearby. She is considered my next of kin up here!

She and I are both older than when this picture was taken, yet both of us still have lots of life left in us! My other lab Sasha, finally died at a ripe age of 14 and a half years.

Emma has always been very healthy and could easily live that long as. Can you help me make this a reality?",2693.0,4000.0,28.0,https://images.gofundme.com/qajzSJcfdNv5ixZ5oQ8GecbjrYs=/1200x900/https://d2g8igdw686xgo.cloudfront.net/94057699_1757037029125596_r.png,https://www.gofundme.com/f/donate-for-emmas-surgery-and-recovery?qid=3e05da99384bba523046eac5ff850c53,"Dog, Nose, Smile, Facial expression, Headgear, Carnivores, Happiness, Fur, Fur clothing, Canidae",1
Helft Gigi und dem Animal Shelter,"Hallo,
Das ist Gigi,als sie im April auf den Straßen von Tobago gefunden wurde.
Sie wurde aufgepäppelt, medizinisch versorgt und das Bild zeigt Gigi im Juni,im Animal Shelter auf Tobago.
Zwei Monate im Animal Shelter kosten viel Geld und daher sammel ich Spenden für das Animal Shelter auf Tobago.
Gigi kann natürlich auch nicht für immer dort bleiben und möchte adoptiert werden..
Jeder Euro hilft und kommt zu 100%dem Animal Shelter auf Tobago zugute!",241.5,840.0,97.0,https://images.gofundme.com/oVc9RnkfCvBhVHYw-2h6BYaetEk=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92192585_1751043960892373_r.png,https://www.gofundme.com/f/helft-gigi?qid=6666208d2db96145b81edbb21e4dfc65,"Dog, Carnivores, Street dog, Snout, Canidae, Working animal, Paw, Pet Supply, Ancient dog breeds, Rare dog breed",0
Support Logan Johnson's Eagle Scout Project,"Hello, my name is Logan Johnson. I’m a seventeen-year-old senior from Bartlett, TN, and a member of Boy Scout Troop 261 from Bartlett Woods Church of Christ. I'm currently raising money for my Eagle project. The goal of my project is to replace the very old, broken-down birdhouses at the Bartlett Animal Shelter to give the purple martins in my community a place to live and thrive, keeping the sensitive species alive. Five 12-room houses will be built for the birds of the surrounding area. These houses will be located next to the animal shelter, featuring 15-foot telescopic poles, allowing for an easy clean and checkup on all the wildlife.

Each house and pole combination is approximately $300. Additional expenses include concrete and squirrel guards for each house. If there is any money left over, we may be able to add a bat house to one of the poles. Otherwise, any extra donations will be transferred to the animal shelter.",1485.0,2000.0,84.0,https://images.gofundme.com/AYB_Np_cZdi_p7vgwN1WgkLaZ6c=/1200x900/https://d2g8igdw686xgo.cloudfront.net/92588763_1752199691373330_r.png,https://www.gofundme.com/f/support-logan-johnsons-eagle-scout-project?qid=af3e49b735550fdff740359f62fb040c,"Eagle Scout, Scout, Badge, Uniform, Award, Government agency, Boy Scouts of America, Flag, Non-commissioned officer",1
Support Jules' Recovery: Urgent Vet Care Needed,"If you've ever met my Jules, she already loves you. We got her as an 8-week-old puppy to help Carter adjust to his big brother moving out. Well, 10 years later, she has been the best friend anyone could ask for. But now, instead of her helping us through everything, she needs some help. I hate asking anyone for help, but I've exhausted my savings and I don't know what else to do. Jules started getting sick about a week ago and has gone downhill really fast. After lots of X-rays and blood tests, she has been diagnosed with pancreatitis. The vet says she needs to be hospitalized with IV fluids to even stand a chance. This will get pretty expensive and I just don't have it. I can't even afford to put her to sleep if I need to. After everything she's done for me when I needed her, I have to at least try. She deserves it. She still has a lot of years left and a ton of love left to give. Anything over what is needed for vet bills will be donated to a local animal shelter. Thanks for taking the time to read this, and if you can't donate, maybe you could just share this on your social media? Thank you.",868.0,1000.0,58.0,https://images.gofundme.com/dIKthGhZksUytUD-W_9iQ88O1dA=/1200x900/https://d2g8igdw686xgo.cloudfront.net/93394983_1754431827117265_r.png,https://www.gofundme.com/f/support-jules-recovery-urgent-vet-care-needed?qid=b7bb97e73049109cac4a80eaef1ddecc,"Dog, Carnivores, Vertebrate, Snout, Working animal, Collar, Black, Dog collar, Pet Supply, Terrestrial animal",0
Lawyer fees to fight Memphis Animal Shelter,John Ryan has stood up to help us fight against Memphis Animal Shelter. Mr. Ryan Is donating his time because he too is a very passionate animal lover adopting several of his own babies. All donations collected will be going towards court and filing fees for the lawsuit against MAS. Back in June I started out as a foster for several ppp with Memphis Animal Shelter it did not take long to realize something was not right. One of my fosters came with a signed spay certificate that was not spayed come to find out my foster was not the only unaltered dog coming out of that shelter with signed certs. Since then there have been dogs coming out pregnant and almost immediately going into labor going by intake dates these dogs conceived while in the shelter. Where are these funds going the medication going if they are documenting surgeries or treatment yet not actually performing them? We have critical dogs not getting urgent pleas and waiting out 3 day stay holds suffering some resulting in death because they did not get the emergency vet care they needed nor was some of the severe injuries even noted in the records. We have fraudulent documentation on records of pets that were no longer in the care of MAS at the time yet MAS still noted an assessment and medication given. As we know there is a huge over population problem in Memphis and this is due to the irresponsible pet owners MAS has their own agenda. They have resources they could use or implement to try to save some lives yet they choose to kill than make the effort. There is a bus that can help transport to other shelters that have reached out but they refuse to call back. In 2019 before Covid hit they had the non violent inmate program that helped with basic volunteer needs they claim they do not have enough volunteers but have yet to take measures to restart the program. This could help by lifting the Covid hours they still run causing it almost impossible for the working class to make it to the shelter before or after work. There used to be a program where the university vet schools would help with spay and neuters that was also shut down when Covid hit but the program was never restarted again. Adoption events are far and few the vetting of Fosters and Adopters is bare minimum with an unbelievable return rate changing those dogs status to owner surrenders most do not get another plea and euthanized immediately. The tax payers pay for cameras inside the facility that are never on and have not been for sometime. They do not utilize music which would help keep the dogs calm but instead they choose to throw around FAS like candy at a Christmas Parade. There is an urgent plea daily causing it almost impossible to save the dogs we could if given more time. This is just a few of the things and it is more than enough but there is a process we have to take to make sure MAS is rid of the trash and held accountable for their actions! Animal Shelters are supposed to be there to help the animals but MAS just dispose of them like they are garbage. We need your help we are going to keep killing ourselves and so many more babies will die. Stand with us and fight! Enough is Enough!! Other ways to donate Venmo @Kristy-Whiteside-2 Cash app $furmomma46,2468.0,6000.0,777.0,https://images.gofundme.com/RAEcN7dXV6WvuP4b8_G061SprBI=/1200x900/https://d2g8igdw686xgo.cloudfront.net/74789409_1700941665945694_r.jpg,https://www.gofundme.com/f/lawyer-fees-to-fight-memphis-animal-shelter?qid=54a80c3c35ee527d2dd231684a3b567b,"Dog, Carnivores, Snout, Working animal, Canidae, Dog Bed, Street dog, Dog Supply, Pet Supply, Puppy",1
